Sentence,Labels
"That male, wears a green jacket and shoes with the color orange, that has brown curly hair. He is wear a violet scarf.","{'race': 'NA', 'gender': 'male', 'hair_style': 'curly', 'hair_color': 'brown', 'hair_len': 'NA', 'top': 'jacket', 'top_color': 'green', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'shoes', 'footwear_color': 'orange', 'accessory': 'scarf', 'accessory_color': 'violet'}"
"The black male had yellow tanktop, white shorts and violet shoes, has long curly hair. The person also is wearing a red bracelet.","{'race': 'black', 'gender': 'male', 'hair_style': 'curly', 'hair_color': 'NA', 'hair_len': 'long', 'top': 'tanktop', 'top_color': 'yellow', 'bottom': 'shorts', 'bottom_color': 'white', 'footwear': 'shoes', 'footwear_color': 'violet', 'accessory': 'bracelet', 'accessory_color': 'red'}"
The black man has middle hair. He is wearing trousers and blue slippers. He is wearing a pair of yellow glasses.,"{'race': 'black', 'gender': 'male', 'hair_style': 'NA', 'hair_color': 'NA', 'hair_len': 'middle', 'top': 'NA', 'top_color': 'NA', 'bottom': 'trousers', 'bottom_color': 'NA', 'footwear': 'slippers', 'footwear_color': 'blue', 'accessory': 'glasses', 'accessory_color': 'yellow'}"
"The white person with short white hair, is wearing a violet jumper, violet jeans and red shoes, who has a red ring.","{'race': 'white', 'gender': 'NA', 'hair_style': 'NA', 'hair_color': 'white', 'hair_len': 'short', 'top': 'jumper', 'top_color': 'violet', 'bottom': 'jeans', 'bottom_color': 'violet', 'footwear': 'shoes', 'footwear_color': 'red', 'accessory': 'ring', 'accessory_color': 'red'}"
"A male with long blond curly hair, had yellow T-shirt, trousers with the color yellow and violet sneakers, who carries a handbag with the color blue.","{'race': 'NA', 'gender': 'male', 'hair_style': 'curly', 'hair_color': 'blond', 'hair_len': 'long', 'top': 'T-shirt', 'top_color': 'yellow', 'bottom': 'trousers', 'bottom_color': 'yellow', 'footwear': 'sneakers', 'footwear_color': 'violet', 'accessory': 'handbag', 'accessory_color': 'blue'}"
"The female with long hair, has trousers and sandals with the color blue, who is wearing a blue hat.","{'race': 'NA', 'gender': 'female', 'hair_style': 'NA', 'hair_color': 'NA', 'hair_len': 'long', 'top': 'NA', 'top_color': 'NA', 'bottom': 'trousers', 'bottom_color': 'NA', 'footwear': 'sandals', 'footwear_color': 'blue', 'accessory': 'hat', 'accessory_color': 'blue'}"
"The caucasian person weared white suit, has black kinky hair. The person also has a blue ring.","{'race': 'caucasian', 'gender': 'NA', 'hair_style': 'kinky', 'hair_color': 'black', 'hair_len': 'NA', 'top': 'suit', 'top_color': 'white', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'ring', 'accessory_color': 'blue'}"
"A asian man with long brown curly hair, has pants and orange boots, who has a blue ring.","{'race': 'asian', 'gender': 'male', 'hair_style': 'curly', 'hair_color': 'brown', 'hair_len': 'long', 'top': 'NA', 'top_color': 'NA', 'bottom': 'pants', 'bottom_color': 'NA', 'footwear': 'boots', 'footwear_color': 'orange', 'accessory': 'ring', 'accessory_color': 'blue'}"
"This male described as black, in a suit, blue shorts and violet boots, that has long gray kinky hair. He is wearing green earrings.","{'race': 'black', 'gender': 'male', 'hair_style': 'kinky', 'hair_color': 'gray', 'hair_len': 'long', 'top': 'suit', 'top_color': 'NA', 'bottom': 'shorts', 'bottom_color': 'blue', 'footwear': 'boots', 'footwear_color': 'violet', 'accessory': 'earrings', 'accessory_color': 'green'}"
"The black man has wavy hair. He weared shirt with the color red, pants with the color blue and blue shoes. He is wearing a pair of white gloves.","{'race': 'black', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'NA', 'hair_len': 'NA', 'top': 'shirt', 'top_color': 'red', 'bottom': 'pants', 'bottom_color': 'blue', 'footwear': 'shoes', 'footwear_color': 'blue', 'accessory': 'gloves', 'accessory_color': 'white'}"
"That man described as caucasian, had a T-shirt with the color red, yellow pants and slippers, that has short straight hair. He is wearing a pair of gloves.","{'race': 'caucasian', 'gender': 'male', 'hair_style': 'straight', 'hair_color': 'NA', 'hair_len': 'short', 'top': 'T-shirt', 'top_color': 'red', 'bottom': 'pants', 'bottom_color': 'yellow', 'footwear': 'slippers', 'footwear_color': 'NA', 'accessory': 'gloves', 'accessory_color': 'NA'}"
"A black female, short black straight hair, orange shirt, green shorts and black shoes, is wearing blue earrings.","{'race': 'black', 'gender': 'female', 'hair_style': 'straight', 'hair_color': 'black', 'hair_len': 'short', 'top': 'shirt', 'top_color': 'orange', 'bottom': 'shorts', 'bottom_color': 'green', 'footwear': 'shoes', 'footwear_color': 'black', 'accessory': 'earrings', 'accessory_color': 'blue'}"
"This caucasian male, short brown wavy hair, a yellow jacket and violet skirt, is wear a violet scarf.","{'race': 'caucasian', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'brown', 'hair_len': 'short', 'top': 'jacket', 'top_color': 'yellow', 'bottom': 'skirt', 'bottom_color': 'violet', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'scarf', 'accessory_color': 'violet'}"
A person has long white curly hair. The person had jumper with the color violet and white jeans. The person is wearing a pair of yellow gloves.,"{'race': 'NA', 'gender': 'NA', 'hair_style': 'curly', 'hair_color': 'white', 'hair_len': 'long', 'top': 'jumper', 'top_color': 'violet', 'bottom': 'jeans', 'bottom_color': 'white', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'gloves', 'accessory_color': 'yellow'}"
A man has blond curly hair. He weared a blue T-shirt and yellow trousers. He is wearing a hat with the color white.,"{'race': 'NA', 'gender': 'male', 'hair_style': 'curly', 'hair_color': 'blond', 'hair_len': 'NA', 'top': 'T-shirt', 'top_color': 'blue', 'bottom': 'trousers', 'bottom_color': 'yellow', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'hat', 'accessory_color': 'white'}"
"The woman, wears black trousers and orange boots, that has middle blond hair. She is wear a blue scarf.","{'race': 'NA', 'gender': 'female', 'hair_style': 'NA', 'hair_color': 'blond', 'hair_len': 'middle', 'top': 'NA', 'top_color': 'NA', 'bottom': 'trousers', 'bottom_color': 'black', 'footwear': 'boots', 'footwear_color': 'orange', 'accessory': 'scarf', 'accessory_color': 'blue'}"
"A asian male with a white coat, shorts and sneakers, has long blond wavy hair. The person also is wearing a pair of blue sunglasses.","{'race': 'asian', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'blond', 'hair_len': 'long', 'top': 'coat', 'top_color': 'white', 'bottom': 'shorts', 'bottom_color': 'NA', 'footwear': 'sneakers', 'footwear_color': 'NA', 'accessory': 'sunglasses', 'accessory_color': 'blue'}"
"The male described as caucasian, with red T-shirt, red shorts and green boots, that has short black kinky hair. He is wearing a yellow hat.","{'race': 'caucasian', 'gender': 'male', 'hair_style': 'kinky', 'hair_color': 'black', 'hair_len': 'short', 'top': 'T-shirt', 'top_color': 'red', 'bottom': 'shorts', 'bottom_color': 'red', 'footwear': 'boots', 'footwear_color': 'green', 'accessory': 'hat', 'accessory_color': 'yellow'}"
"That white female with middle blond kinky hair, with a blouse and yellow sneakers, who is wearing a pair of red sunglasses.","{'race': 'white', 'gender': 'female', 'hair_style': 'kinky', 'hair_color': 'blond', 'hair_len': 'middle', 'top': 'blouse', 'top_color': 'NA', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'sneakers', 'footwear_color': 'yellow', 'accessory': 'sunglasses', 'accessory_color': 'red'}"
"The black male, long brown kinky hair, a orange coat, blue jeans and green slippers, is wearing a blue bracelet.","{'race': 'black', 'gender': 'male', 'hair_style': 'kinky', 'hair_color': 'brown', 'hair_len': 'long', 'top': 'coat', 'top_color': 'orange', 'bottom': 'jeans', 'bottom_color': 'blue', 'footwear': 'slippers', 'footwear_color': 'green', 'accessory': 'bracelet', 'accessory_color': 'blue'}"
"This caucasian person, middle brown hair, violet coat and red shorts, has a violet ring.","{'race': 'caucasian', 'gender': 'NA', 'hair_style': 'NA', 'hair_color': 'brown', 'hair_len': 'middle', 'top': 'coat', 'top_color': 'violet', 'bottom': 'shorts', 'bottom_color': 'red', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'ring', 'accessory_color': 'violet'}"
"This man described as caucasian, in a shirt with the color violet and yellow sandals, that has brown kinky hair. He is wearing a pair of gloves with the color orange.","{'race': 'caucasian', 'gender': 'male', 'hair_style': 'kinky', 'hair_color': 'brown', 'hair_len': 'NA', 'top': 'shirt', 'top_color': 'violet', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'sandals', 'footwear_color': 'yellow', 'accessory': 'gloves', 'accessory_color': 'orange'}"
"This female described as asian, is wearing T-shirt with the color blue, that has middle white straight hair. She has a green ring.","{'race': 'asian', 'gender': 'female', 'hair_style': 'straight', 'hair_color': 'white', 'hair_len': 'middle', 'top': 'T-shirt', 'top_color': 'blue', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'ring', 'accessory_color': 'green'}"
A asian person has long black curly hair. The person weared violet coat and yellow jeans. The person is wearing a pair of blue gloves.,"{'race': 'asian', 'gender': 'NA', 'hair_style': 'curly', 'hair_color': 'black', 'hair_len': 'long', 'top': 'coat', 'top_color': 'violet', 'bottom': 'jeans', 'bottom_color': 'yellow', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'gloves', 'accessory_color': 'blue'}"
"The asian woman has straight hair. She had jacket with the color orange, orange jeans and orange boots. She is wearing a black bracelet.","{'race': 'asian', 'gender': 'female', 'hair_style': 'straight', 'hair_color': 'NA', 'hair_len': 'NA', 'top': 'jacket', 'top_color': 'orange', 'bottom': 'jeans', 'bottom_color': 'orange', 'footwear': 'boots', 'footwear_color': 'orange', 'accessory': 'bracelet', 'accessory_color': 'black'}"
"The person described as caucasian, has a red dress and yellow jeans, that has middle white hair.","{'race': 'caucasian', 'gender': 'NA', 'hair_style': 'NA', 'hair_color': 'white', 'hair_len': 'middle', 'top': 'dress', 'top_color': 'red', 'bottom': 'jeans', 'bottom_color': 'yellow', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'NA', 'accessory_color': 'NA'}"
"A caucasian man is wearing jeans with the color yellow and orange slippers, has middle wavy hair. The person also is wear a red scarf.","{'race': 'caucasian', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'NA', 'hair_len': 'middle', 'top': 'NA', 'top_color': 'NA', 'bottom': 'jeans', 'bottom_color': 'yellow', 'footwear': 'slippers', 'footwear_color': 'orange', 'accessory': 'scarf', 'accessory_color': 'red'}"
"A person described as white, is wearing yellow suit, blue skirt and blue sandals, that has long gray hair. The person is wear a violet scarf.","{'race': 'white', 'gender': 'NA', 'hair_style': 'NA', 'hair_color': 'gray', 'hair_len': 'long', 'top': 'suit', 'top_color': 'yellow', 'bottom': 'skirt', 'bottom_color': 'blue', 'footwear': 'sandals', 'footwear_color': 'blue', 'accessory': 'scarf', 'accessory_color': 'violet'}"
"This white woman with middle gray wavy hair, had dress, yellow trousers and orange sneakers.","{'race': 'white', 'gender': 'female', 'hair_style': 'wavy', 'hair_color': 'gray', 'hair_len': 'middle', 'top': 'dress', 'top_color': 'NA', 'bottom': 'trousers', 'bottom_color': 'yellow', 'footwear': 'sneakers', 'footwear_color': 'orange', 'accessory': 'NA', 'accessory_color': 'NA'}"
"That black female, straight hair, blue tanktop, violet trousers and violet sandals, carries a white handbag.","{'race': 'black', 'gender': 'female', 'hair_style': 'straight', 'hair_color': 'NA', 'hair_len': 'NA', 'top': 'tanktop', 'top_color': 'blue', 'bottom': 'trousers', 'bottom_color': 'violet', 'footwear': 'sandals', 'footwear_color': 'violet', 'accessory': 'handbag', 'accessory_color': 'white'}"
"That female, in a green tanktop, red trousers and shoes with the color red, that has short black kinky hair. She is wearing a pair of violet gloves.","{'race': 'NA', 'gender': 'female', 'hair_style': 'kinky', 'hair_color': 'black', 'hair_len': 'short', 'top': 'tanktop', 'top_color': 'green', 'bottom': 'trousers', 'bottom_color': 'red', 'footwear': 'shoes', 'footwear_color': 'red', 'accessory': 'gloves', 'accessory_color': 'violet'}"
"The male wears a green blouse, yellow pants and violet slippers, has short curly hair. The person also is wearing a bracelet with the color orange.","{'race': 'NA', 'gender': 'male', 'hair_style': 'curly', 'hair_color': 'NA', 'hair_len': 'short', 'top': 'blouse', 'top_color': 'green', 'bottom': 'pants', 'bottom_color': 'yellow', 'footwear': 'slippers', 'footwear_color': 'violet', 'accessory': 'bracelet', 'accessory_color': 'orange'}"
"The female in a red shirt and yellow slippers, has middle black curly hair. The person also is wearing a pair of blue gloves.","{'race': 'NA', 'gender': 'female', 'hair_style': 'curly', 'hair_color': 'black', 'hair_len': 'middle', 'top': 'shirt', 'top_color': 'red', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'slippers', 'footwear_color': 'yellow', 'accessory': 'gloves', 'accessory_color': 'blue'}"
A asian man has blond wavy hair. He wears red shorts and blue shoes. He is wearing a bracelet with the color black.,"{'race': 'asian', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'blond', 'hair_len': 'NA', 'top': 'NA', 'top_color': 'NA', 'bottom': 'shorts', 'bottom_color': 'red', 'footwear': 'shoes', 'footwear_color': 'blue', 'accessory': 'bracelet', 'accessory_color': 'black'}"
"That man described as caucasian, has a yellow shirt and black boots, that has blond kinky hair. He is wearing earrings with the color violet.","{'race': 'caucasian', 'gender': 'male', 'hair_style': 'kinky', 'hair_color': 'blond', 'hair_len': 'NA', 'top': 'shirt', 'top_color': 'yellow', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'boots', 'footwear_color': 'black', 'accessory': 'earrings', 'accessory_color': 'violet'}"
"The man described as white, in blue dress, white shorts and green sneakers, that has short black straight hair. He is wear a blue scarf.","{'race': 'white', 'gender': 'male', 'hair_style': 'straight', 'hair_color': 'black', 'hair_len': 'short', 'top': 'dress', 'top_color': 'blue', 'bottom': 'shorts', 'bottom_color': 'white', 'footwear': 'sneakers', 'footwear_color': 'green', 'accessory': 'scarf', 'accessory_color': 'blue'}"
"That woman described as caucasian, has black dress, white pants and violet shoes, that has long white hair. She is wearing a pair of yellow glasses.","{'race': 'caucasian', 'gender': 'female', 'hair_style': 'NA', 'hair_color': 'white', 'hair_len': 'long', 'top': 'dress', 'top_color': 'black', 'bottom': 'pants', 'bottom_color': 'white', 'footwear': 'shoes', 'footwear_color': 'violet', 'accessory': 'glasses', 'accessory_color': 'yellow'}"
"A caucasian person with a green suit, blue jeans and black sandals, has black curly hair.","{'race': 'caucasian', 'gender': 'NA', 'hair_style': 'curly', 'hair_color': 'black', 'hair_len': 'NA', 'top': 'suit', 'top_color': 'green', 'bottom': 'jeans', 'bottom_color': 'blue', 'footwear': 'sandals', 'footwear_color': 'black', 'accessory': 'NA', 'accessory_color': 'NA'}"
"A asian woman with a shirt and blue trousers, has short blond curly hair. The person also is wearing a blue bracelet.","{'race': 'asian', 'gender': 'female', 'hair_style': 'curly', 'hair_color': 'blond', 'hair_len': 'short', 'top': 'shirt', 'top_color': 'NA', 'bottom': 'trousers', 'bottom_color': 'blue', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'bracelet', 'accessory_color': 'blue'}"
"The man had a blue jacket, violet skirt and green sneakers, has short gray hair. The person also is wearing a pair of white gloves.","{'race': 'NA', 'gender': 'male', 'hair_style': 'NA', 'hair_color': 'gray', 'hair_len': 'short', 'top': 'jacket', 'top_color': 'blue', 'bottom': 'skirt', 'bottom_color': 'violet', 'footwear': 'sneakers', 'footwear_color': 'green', 'accessory': 'gloves', 'accessory_color': 'white'}"
"The asian man with middle black curly hair, wears a red coat and white boots, who is wearing a blue hat.","{'race': 'asian', 'gender': 'male', 'hair_style': 'curly', 'hair_color': 'black', 'hair_len': 'middle', 'top': 'coat', 'top_color': 'red', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'boots', 'footwear_color': 'white', 'accessory': 'hat', 'accessory_color': 'blue'}"
"A man described as caucasian, is wearing black suit, black shorts and black boots, that has gray kinky hair. He is wearing a pair of sunglasses with the color blue.","{'race': 'caucasian', 'gender': 'male', 'hair_style': 'kinky', 'hair_color': 'gray', 'hair_len': 'NA', 'top': 'suit', 'top_color': 'black', 'bottom': 'shorts', 'bottom_color': 'black', 'footwear': 'boots', 'footwear_color': 'black', 'accessory': 'sunglasses', 'accessory_color': 'blue'}"
"A white man with middle black kinky hair, in yellow suit, blue pants and violet sandals.","{'race': 'white', 'gender': 'male', 'hair_style': 'kinky', 'hair_color': 'black', 'hair_len': 'middle', 'top': 'suit', 'top_color': 'yellow', 'bottom': 'pants', 'bottom_color': 'blue', 'footwear': 'sandals', 'footwear_color': 'violet', 'accessory': 'NA', 'accessory_color': 'NA'}"
"That female, in a orange coat and violet sandals, that has short white wavy hair. She is wearing a bracelet with the color green.","{'race': 'NA', 'gender': 'female', 'hair_style': 'wavy', 'hair_color': 'white', 'hair_len': 'short', 'top': 'coat', 'top_color': 'orange', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'sandals', 'footwear_color': 'violet', 'accessory': 'bracelet', 'accessory_color': 'green'}"
"This asian man with short gray wavy hair, weared red shirt, who is wear a white scarf.","{'race': 'asian', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'gray', 'hair_len': 'short', 'top': 'shirt', 'top_color': 'red', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'scarf', 'accessory_color': 'white'}"
"This man with long gray wavy hair, had a yellow jumper and shorts, who is wear a red scarf.","{'race': 'NA', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'gray', 'hair_len': 'long', 'top': 'jumper', 'top_color': 'yellow', 'bottom': 'shorts', 'bottom_color': 'NA', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'scarf', 'accessory_color': 'red'}"
"This caucasian female, short brown curly hair, yellow jacket, blue jeans and white sneakers, is wearing a necklace.","{'race': 'caucasian', 'gender': 'female', 'hair_style': 'curly', 'hair_color': 'brown', 'hair_len': 'short', 'top': 'jacket', 'top_color': 'yellow', 'bottom': 'jeans', 'bottom_color': 'blue', 'footwear': 'sneakers', 'footwear_color': 'white', 'accessory': 'necklace', 'accessory_color': 'NA'}"
"A caucasian person is wearing blue shirt, violet pants and green sandals, has wavy hair. The person also is wearing a pair of blue gloves.","{'race': 'caucasian', 'gender': 'NA', 'hair_style': 'wavy', 'hair_color': 'NA', 'hair_len': 'NA', 'top': 'shirt', 'top_color': 'blue', 'bottom': 'pants', 'bottom_color': 'violet', 'footwear': 'sandals', 'footwear_color': 'green', 'accessory': 'gloves', 'accessory_color': 'blue'}"
"A female with long white wavy hair, with a black jumper, red pants and blue boots, who is wearing a pair of yellow glasses.","{'race': 'NA', 'gender': 'female', 'hair_style': 'wavy', 'hair_color': 'white', 'hair_len': 'long', 'top': 'jumper', 'top_color': 'black', 'bottom': 'pants', 'bottom_color': 'red', 'footwear': 'boots', 'footwear_color': 'blue', 'accessory': 'glasses', 'accessory_color': 'yellow'}"
"A asian man has middle brown wavy hair. He has a white coat, black pants and violet slippers. He is wearing a pair of blue glasses.","{'race': 'asian', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'brown', 'hair_len': 'middle', 'top': 'coat', 'top_color': 'white', 'bottom': 'pants', 'bottom_color': 'black', 'footwear': 'slippers', 'footwear_color': 'violet', 'accessory': 'glasses', 'accessory_color': 'blue'}"
"The asian male had tanktop with the color orange and black slippers, has blond hair. The person also is wearing a necklace with the color green.","{'race': 'asian', 'gender': 'male', 'hair_style': 'NA', 'hair_color': 'blond', 'hair_len': 'NA', 'top': 'tanktop', 'top_color': 'orange', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'slippers', 'footwear_color': 'black', 'accessory': 'necklace', 'accessory_color': 'green'}"
The female has long white hair. She has jacket with the color black and white boots. She is wearing a pair of orange gloves.,"{'race': 'NA', 'gender': 'female', 'hair_style': 'NA', 'hair_color': 'white', 'hair_len': 'long', 'top': 'jacket', 'top_color': 'black', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'boots', 'footwear_color': 'white', 'accessory': 'gloves', 'accessory_color': 'orange'}"
"The asian person with middle black wavy hair, had white dress, orange skirt and violet shoes, who has belt with the color white.","{'race': 'asian', 'gender': 'NA', 'hair_style': 'wavy', 'hair_color': 'black', 'hair_len': 'middle', 'top': 'dress', 'top_color': 'white', 'bottom': 'skirt', 'bottom_color': 'orange', 'footwear': 'shoes', 'footwear_color': 'violet', 'accessory': 'belt', 'accessory_color': 'white'}"
"A person has kinky hair. The person has red T-shirt, pants and blue shoes. The person is wearing a white hat.","{'race': 'NA', 'gender': 'NA', 'hair_style': 'kinky', 'hair_color': 'NA', 'hair_len': 'NA', 'top': 'T-shirt', 'top_color': 'red', 'bottom': 'pants', 'bottom_color': 'NA', 'footwear': 'shoes', 'footwear_color': 'blue', 'accessory': 'hat', 'accessory_color': 'white'}"
"That person described as white, is wearing green trousers and green sandals, that has short brown hair. The person is wearing a white hat.","{'race': 'white', 'gender': 'NA', 'hair_style': 'NA', 'hair_color': 'brown', 'hair_len': 'short', 'top': 'NA', 'top_color': 'NA', 'bottom': 'trousers', 'bottom_color': 'green', 'footwear': 'sandals', 'footwear_color': 'green', 'accessory': 'hat', 'accessory_color': 'white'}"
"The female, middle white kinky hair, a white blouse, trousers with the color orange and black sneakers, is wearing a pair of red glasses.","{'race': 'NA', 'gender': 'female', 'hair_style': 'kinky', 'hair_color': 'white', 'hair_len': 'middle', 'top': 'blouse', 'top_color': 'white', 'bottom': 'trousers', 'bottom_color': 'orange', 'footwear': 'sneakers', 'footwear_color': 'black', 'accessory': 'glasses', 'accessory_color': 'red'}"
"A male has yellow dress, violet jeans and violet boots, has long wavy hair. The person also has belt.","{'race': 'NA', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'NA', 'hair_len': 'long', 'top': 'dress', 'top_color': 'yellow', 'bottom': 'jeans', 'bottom_color': 'violet', 'footwear': 'boots', 'footwear_color': 'violet', 'accessory': 'belt', 'accessory_color': 'NA'}"
"A caucasian woman is wearing green trousers, has middle white kinky hair. The person also has white belt.","{'race': 'caucasian', 'gender': 'female', 'hair_style': 'kinky', 'hair_color': 'white', 'hair_len': 'middle', 'top': 'NA', 'top_color': 'NA', 'bottom': 'trousers', 'bottom_color': 'green', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'belt', 'accessory_color': 'white'}"
"The caucasian male, middle white wavy hair, a tanktop and red slippers, is wear a black scarf.","{'race': 'caucasian', 'gender': 'male', 'hair_style': 'wavy', 'hair_color': 'white', 'hair_len': 'middle', 'top': 'tanktop', 'top_color': 'NA', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'slippers', 'footwear_color': 'red', 'accessory': 'scarf', 'accessory_color': 'black'}"
"That white woman, white wavy hair, shirt, black pants and white shoes.","{'race': 'white', 'gender': 'female', 'hair_style': 'wavy', 'hair_color': 'white', 'hair_len': 'NA', 'top': 'shirt', 'top_color': 'NA', 'bottom': 'pants', 'bottom_color': 'black', 'footwear': 'shoes', 'footwear_color': 'white', 'accessory': 'NA', 'accessory_color': 'NA'}"
"A person described as black, in a red shirt, orange skirt and white sneakers, that has short black kinky hair. The person is wearing a pair of red glasses.","{'race': 'black', 'gender': 'NA', 'hair_style': 'kinky', 'hair_color': 'black', 'hair_len': 'short', 'top': 'shirt', 'top_color': 'red', 'bottom': 'skirt', 'bottom_color': 'orange', 'footwear': 'sneakers', 'footwear_color': 'white', 'accessory': 'glasses', 'accessory_color': 'red'}"
